ent,sexo,year,pobreza,pobreza_e,pobreza_m,carencias,carencias3,int_pob,int_pobe,int_vulcar,int_caren,ict
Sonora,1,2016,.26493624,.02393949,.24099675,.58092409,.13678408,.092692517,.01385363,.094397552,.18709007,19252.9526304709
Sonora,2,2016,.27518061,.018243542,.25693706,.55564851,.10999867,.092792131,.010570422,.076558486,.16935061,17954.76311267006
Sonora,1,2018,.26687357,.022596976,.2442766,.57242483,.14677706,.094836853,.01347162,.091049671,.18588653,20342.84902688223
Sonora,2,2018,.26640967,.021956921,.24445274,.53954685,.10743439,.086376235,.012427171,.073804729,.16018096,19883.83619269605
Sonora,1,2020,.30162856,.034685869,.26694268,.57610589,.16133916,.1095747,.022415504,.085836716,.19541141,20638.15990397927
Sonora,2,2020,.296875,.036262963,.26061204,.54409182,.12888473,.10367161,.021733034,.070064925,.17373653,19980.32481939471
Sonora,1,2022,.21621022,.018067881,.19814233,.55580914,.15955947,.083052069,.011118171,.11025911,.19331117,25519.00340663978
Sonora,2,2022,.21763939,.016093099,.2015463,.53207082,.11710265,.076864056,.0097546969,.093592405,.17045647,24611.21031848965
Tabasco,1,2016,.52640843,.1095277,.41688073,.84037375,.37532964,.2272557,.064968072,.11322717,.34048286,11903.53237827614
Tabasco,2,2016,.5500139,.12018173,.42983216,.8424862,.37217197,.23513231,.070320837,.10127859,.33641091,11603.54718906967
Tabasco,1,2018,.55565929,.11716392,.43849534,.84334683,.38469011,.24315587,.069645718,.099323273,.34247914,12805.35742034685
Tabasco,2,2018,.57071143,.12388084,.44683063,.84192848,.37140033,.24481423,.071945548,.087134756,.331949,12586.64207784515
Tabasco,1,2020,.53977656,.13433444,.40544212,.80382186,.38052404,.24075192,.081559114,.094248466,.3350004,13233.70781846791
Tabasco,2,2020,.54947031,.13936813,.41010219,.80299568,.36388281,.23941274,.083322369,.085644916,.32505766,13129.45679303252
Tabasco,1,2022,.46059039,.11068767,.34990272,.80080247,.43956128,.23326424,.073894948,.1333241,.36658832,17153.26120715331
Tabasco,2,2022,.46859613,.11238195,.3562142,.8013556,.41724807,.22920994,.072614893,.12530005,.35450998,17125.32595679844
Tamaulipas,1,2016,.3156178,.028830905,.28678691,.59702784,.11392973,.10283924,.015808739,.076985173,.17982441,16274.97271097712
Tamaulipas,2,2016,.32496947,.025644951,.29932451,.58797538,.10812131,.10297678,.013907552,.06851656,.17149334,15978.17424849839
Tamaulipas,1,2018,.33732107,.027930968,.30939013,.57199633,.11480643,.10537231,.016311914,.066490971,.17186327,16370.07019079132
Tamaulipas,2,2018,.35318851,.031819616,.3213689,.5822261,.094978802,.10518736,.017877148,.061868653,.16705601,15654.29915679858
Tamaulipas,1,2020,.34483293,.036800869,.30803204,.57250291,.12432665,.11289353,.020773627,.066501983,.17939551,17035.43263776907
Tamaulipas,2,2020,.35384819,.039879374,.31396881,.54640305,.099953353,.11195584,.021760086,.051553182,.16350903,16745.03618280324
Tamaulipas,1,2022,.25832492,.026528802,.23179612,.54698676,.14080101,.095007792,.015438272,.089743391,.18475118,22236.03555230789
Tamaulipas,2,2022,.27741498,.030517925,.24689704,.54461038,.13250075,.099630825,.018297503,.0787163,.17834713,21414.33741482003
Tlaxcala,1,2016,.54764581,.058816496,.48882931,.77138895,.16125603,.17118709,.03303463,.063995913,.235183,11525.29984679566
Tlaxcala,2,2016,.57012564,.05833694,.51178867,.7798627,.13909265,.17331804,.032570664,.054811221,.22812927,11264.65657549781
Tlaxcala,1,2018,.50765896,.032264031,.4753949,.75028908,.16575205,.16506046,.017571041,.069681339,.23474179,14145.64089660665
